ADAR;ADAL;EJ;1
ADFL;ADAL;EJ;1
ASHL;ADAL;EJ;1
AVDR;ADAL;EJ;2
PVQL;ADAL;EJ;1
ADAL;ADAR;EJ;1
ADFR;ADAR;EJ;1
ASHR;ADAR;EJ;1
AVDL;ADAR;EJ;2
PVQR;ADAR;EJ;1
AINL;ADEL;EJ;1
AVKR;ADEL;EJ;1
AVKL;ADER;EJ;1
ADAL;ADFL;EJ;1
ADAR;ADFR;EJ;1
AIAR;ADFR;EJ;1
ADLR;ADLL;EJ;1
AVDR;ADLL;EJ;1
OLQVL;ADLL;EJ;1
RMGL;ADLL;EJ;1
ADLL;ADLR;EJ;1
AFDR;AFDL;EJ;1
AIBL;AFDL;EJ;1
AFDL;AFDR;EJ;1
AIBR;AFDR;EJ;1
AIAR;AIAL;EJ;1
ASIL;AIAL;EJ;2
AWAL;AIAL;EJ;1
ADFR;AIAR;EJ;1
AIAL;AIAR;EJ;1
ASIR;AIAR;EJ;2
AWAR;AIAR;EJ;1
AFDL;AIBL;EJ;1
DVC;AIBL;EJ;1
PVT;AIBL;EJ;1
RIGR;AIBL;EJ;3
RIMR;AIBL;EJ;1
RIVL;AIBL;EJ;1
AFDR;AIBR;EJ;1
DB01;AIBR;EJ;1
DVC;AIBR;EJ;2
PVT;AIBR;EJ;1
RIGL;AIBR;EJ;3
RIML;AIBR;EJ;1
RIS;AIBR;EJ;1
RIVR;AIBR;EJ;1
SIBDR;AIML;EJ;1
ADEL;AINL;EJ;1
AINR;AINL;EJ;2
ASGR;AINL;EJ;1
AUAR;AINL;EJ;1
AINL;AINR;EJ;2
ASGL;AINR;EJ;1
AUAL;AINR;EJ;1
AIYR;AIYL;EJ;1
RIML;AIYL;EJ;1
AIYL;AIYR;EJ;1
RIMR;AIYR;EJ;1
AIZR;AIZL;EJ;2
ASGL;AIZL;EJ;1
ASHL;AIZL;EJ;1
AIZL;AIZR;EJ;2
ASGR;AIZR;EJ;1
ASHR;AIZR;EJ;1
AWAR;AIZR;EJ;1
RID;ALA;EJ;1
AVM;ALML;EJ;1
PVR;ALML;EJ;1
AVM;ALMR;EJ;1
SMBDR;ALNL;EJ;1
AVBL;AQR;EJ;1
AVKL;AQR;EJ;2
AVKR;AQR;EJ;1
PVPL;AQR;EJ;7
PVPR;AQR;EJ;9
RIGL;AQR;EJ;2
RIGR;AQR;EJ;1
AVAL;AS01;EJ;3
AVAR;AS01;EJ;2
VA03;AS01;EJ;1
VD02;AS01;EJ;1
DA02;AS02;EJ;1
VA04;AS02;EJ;2
AVAL;AS03;EJ;2
AVAR;AS03;EJ;1
DA02;AS03;EJ;1
VA05;AS03;EJ;2
DA03;AS04;EJ;1
AVAL;AS05;EJ;1
AVAR;AS05;EJ;1
VA07;AS05;EJ;1
AVAL;AS06;EJ;1
AVAR;AS06;EJ;1
AVBR;AS06;EJ;1
DA05;AS06;EJ;2
VA08;AS06;EJ;1
AVAL;AS07;EJ;6
AVAR;AS07;EJ;5
AVBL;AS07;EJ;2
AVBR;AS07;EJ;2
AVAL;AS08;EJ;4
AVAR;AS08;EJ;3
AVAL;AS09;EJ;4
AVAR;AS09;EJ;1
DVB;AS09;EJ;7
AVAL;AS10;EJ;1
AVAR;AS10;EJ;1
PDB;AS11;EJ;2
AINR;ASGL;EJ;1
AIZL;ASGL;EJ;1
AINL;ASGR;EJ;1
AIZR;ASGR;EJ;1
ADAL;ASHL;EJ;1
AIZL;ASHL;EJ;1
ASHR;ASHL;EJ;1
RICL;ASHL;EJ;2
RMGL;ASHL;EJ;1
ADAR;ASHR;EJ;1
AIZR;ASHR;EJ;1
ASHL;ASHR;EJ;1
ASKR;ASHR;EJ;1
RICR;ASHR;EJ;2
RMGR;ASHR;EJ;1
AIAL;ASIL;EJ;2
ASIR;ASIL;EJ;1
AIAR;ASIR;EJ;2
ASIL;ASIR;EJ;1
ASJR;ASJL;EJ;1
ASJL;ASJR;EJ;1
ASKR;ASKL;EJ;1
PVQL;ASKL;EJ;5
RMGL;ASKL;EJ;1
ASHR;ASKR;EJ;1
ASKL;ASKR;EJ;1
PVQR;ASKR;EJ;4
RMGR;ASKR;EJ;1
AINR;AUAL;EJ;1
AUAR;AUAL;EJ;1
AWBL;AUAL;EJ;1
AINL;AUAR;EJ;1
AUAL;AUAR;EJ;1
AWBR;AUAR;EJ;1
AS01;AVAL;EJ;3
AS03;AVAL;EJ;2
AS05;AVAL;EJ;1
AS06;AVAL;EJ;1
AS07;AVAL;EJ;6
AS08;AVAL;EJ;4
AS09;AVAL;EJ;4
AS10;AVAL;EJ;1
AVAR;AVAL;EJ;5
AVJL;AVAL;EJ;2
DA01;AVAL;EJ;2
DA02;AVAL;EJ;2
DA04;AVAL;EJ;3
DA05;AVAL;EJ;1
DA06;AVAL;EJ;10
DA07;AVAL;EJ;2
DB06;AVAL;EJ;3
FLPL;AVAL;EJ;1
LUAL;AVAL;EJ;1
PVCL;AVAL;EJ;2
PVCR;AVAL;EJ;5
PVPL;AVAL;EJ;1
RIMR;AVAL;EJ;3
SABD;AVAL;EJ;4
SABVR;AVAL;EJ;1
SDQR;AVAL;EJ;1
URYDL;AVAL;EJ;1
URYVR;AVAL;EJ;1
VA01;AVAL;EJ;3
VA02;AVAL;EJ;4
VA03;AVAL;EJ;1
VA04;AVAL;EJ;1
VA05;AVAL;EJ;5
