n1,n2,intensity,distance,R1+R2
614,1004,14984.55808,1.90010526,1
614,693,13939.39877,2.056039883,1
693,830,13877.59375,1.238951169,1
693,88,13764.34863,1.579683513,1
88,63,13433.61133,0.366878727,1
693,1,13277.1123,1.750599897,1
693,946,13097.48633,1.951127879,1
614,1,12923.95232,1.885444245,1
693,614,12884.13874,2.056039883,1
88,693,12849.55371,1.579683513,1
88,830,12724.46786,1.035084538,1
693,126,12681.41339,1.382931669,1
1004,1,12681.38184,0.05,1
126,1004,12646.34473,0.394461658,1
614,223,12514.73926,1.444783721,1
693,223,12407.46387,0.870114935,1
491,525,12300.37793,0.413400532,1
88,286,11832.35059,0.883232699,1
88,347,11755.75829,5.333001031,1
88,523,11694.375,1.110900536,1
614,126,11385.21582,1.928419042,1
88,614,11221.72405,1.053422992,1
88,797,11171.21191,2.315037797,1
946,491,11071.21594,0.929139387,1
88,194,11012.07715,1.107113364,1
126,693,10837.54297,1.382931669,1
88,515,10758.87012,0.620483682,1
88,38,10634.35352,3.205635662,1
1004,126,10629.71582,0.394461658,1
491,210,10561.48633,0.908019824,1
797,470,10519.07227,0.921954446,1
126,1,10376.23828,0.433704969,1
491,946,10111.12695,0.929139387,1
194,364,10105.96878,0.883289307,1
946,525,10104.53418,0.623698645,1
88,223,9844.30957,1.451516448,1
693,63,9760.554028,1.438957956,1
693,286,9617.307755,1.394668419,1
523,515,9591.381836,0.584893153,1
693,347,9559.629883,5.760651005,1
194,470,9536.213982,0.823468275,1
364,470,9318.18457,1.076150547,1
194,797,9300.91417,1.336600165,1
693,194,9290.564453,1.972485741,1
693,515,9149.792969,1.897208476,1
1004,223,9070.197266,1.124722188,1
126,491,9057.889734,0.772593036,1
693,72,8921.616211,3.406258945,1
390,194,8903.0394,1.081203034,1
88,390,8862.902588,1.186128155,1
830,63,8859.436523,0.695413546,1
693,38,8792.258254,4.297848299,1
830,797,8632.02832,1.894412838,1
126,223,8510.364258,0.854751426,1
126,614,8418.575195,1.928419042,1
693,797,8412.117224,3.097708831,1
491,194,8292.558594,1.654116078,1
614,830,8247.453558,1.117720895,1
63,797,8241.458008,2.061552813,1
523,226,8146.587402,0.221359436,1
63,38,8119.08252,3.173594177,1
693,523,8049.805176,2.378634062,1
515,523,8042.708496,0.584893153,1
797,491,8006.486243,2.015241921,1
946,194,7906.839844,1.305756486,1
830,693,7836.539551,1.238951169,1
693,210,7814.889767,2.120636697,1
515,286,7808.915212,0.788733161,1
946,1004,7758.558775,1.32438665,1
1004,830,7602.801391,1.07893466,1
693,491,7578.405195,1.702762461,1
797,364,7533.368385,0.968968524,1
693,525,7526.640137,1.538603263,1
88,226,7456.28141,1.244387399,1
194,63,7453.018784,0.850940656,1
390,126,7452.639648,2.087007427,1
523,88,7401.021973,1.110900536,1
614,515,7330.529785,1.18393412,1
390,491,7314.074223,2.47396443,1
515,347,7240.539261,5.87,1
946,797,7129.190455,1.525417976,1
470,194,7053.875,0.823468275,1
491,1004,7028.331595,0.660681466,1
364,194,7018.223745,0.883289307,1
491,126,6974.255557,0.772593036,1
515,614,6966.16073,1.18393412,1
797,946,6936.23291,1.525417976,1
523,272,6928.860352,0.776208735,1
614,88,6858.546427,1.053422992,1
63,830,6808.132345,0.695413546,1
