origin_abbrev,origin_id,target_abbrev,target_id,projection_intensity
VMH,693,PMv,1004,15684.4469120581
AHN,88,ASO,332,15607.258482995401
TU,614,PMv,1004,14984.5580827673
VMH,693,sup,349,14965.6434772722
VMH,693,mfsbshy,824,14410.6545462385
TU,614,VMH,693,13939.3987650401
VMH,693,DMH,830,13877.5932868631
VMH,693,AHN,88,13764.3486049016
VMH,693,MEZ,467,13762.734557613501
MM,491,MMd,606826659,13640.0290315208
VMH,693,PVR,141,13605.711756390801
MM,491,pm,753,13516.651247715201
VMH,693,ASO,332,13297.3651981804
VMH,693,TMv,1,13277.1120703305
VMH,693,RCH,173,13181.047688783201
TU,614,LZ,290,13174.7598283297
PH,946,PR,1077,13161.820495497299
VMH,693,PH,946,13097.486230216899
VMH,693,TM,557,13091.3992024385
ZI,797,FF,804,13054.5820927838
VMH,693,grey,8,12956.668344246698
VMH,693,BS,343,12956.668344246698
VMH,693,IB,1129,12956.668344246698
VMH,693,HY,1097,12956.6671268608
TU,614,TMv,1,12923.9523151223
VMH,693,MBO,331,12896.732281115701
TU,614,MBO,331,12888.7402381221
TU,614,TM,557,12888.7402381221
VMH,693,TU,614,12884.138737361201
VMH,693,root,997,12876.2751616965
TU,614,MEZ,467,12851.5476994675
AHN,88,VMH,693,12849.553416713601
PH,946,VM,685,12825.8212232198
AHN,88,DMH,830,12724.4678630702
VMH,693,LZ,290,12709.662905013998
VMH,693,PVp,126,12681.413389815802
PMv,1004,TMv,1,12681.3814201337
VMH,693,PMd,980,12582.2730664051
AHN,88,PVHd,63,12576.140053765901
PMv,1004,TM,557,12520.131539301201
TU,614,PVZ,157,12514.739159264
TU,614,ARH,223,12514.739159264
PMv,1004,MBO,331,12452.883522536398
MM,491,MMme,732,12451.2429897121
AHN,88,MEZ,467,12427.3684561342
VMH,693,ARH,223,12407.4634816348
VMH,693,TMd,1126,12399.2384716526
VMH,693,PVi,118,12330.5822935316
TU,614,ME,10671,12289.9580999017
MM,491,mtg,681,12256.8230255902
TU,614,fiber tracts,1009,12224.4449576351
VMH,693,PVZ,157,12173.657101191398
AHN,88,RCH,173,12124.8419981126
ZI,797,PIL,560581563,12109.5537425268
ZI,797,ILM,51,12109.5537425268
TU,614,IB,1129,12093.950370993201
TU,614,grey,8,12093.950370993201
TU,614,BS,343,12093.950370993201
TU,614,HY,1097,12093.95019109
ZI,797,LZ,290,12088.9630232822
TU,614,root,997,12078.2477081105
MM,491,SUM,525,12075.0215800575
ZI,797,HY,1097,12036.0713985265
MM,491,MMl,606826647,12028.0218650678
MM,491,mtt,690,12004.3558374911
PMv,1004,MEZ,467,11974.8224816402
VMH,693,PeF,576073704,11917.9864526675
AHN,88,SCH,286,11832.350482363301
MM,491,MMp,606826655,11801.5215406935
