,structure-id,structure-abbrev,structure-name,Counts in distance>5,outgoing edges,incoming edges,internal edges,outgoing+incoming,outgoing+incoming / internal,avg dft,largest dft
0,194,LHA,Lateral hypothalamic area,7,122,11,36,133,3.6944444444444446,2.8187659436800003,10.27795013
1,491,MM,Medial mammillary nucleus,6,91,2,21,93,4.428571428571429,2.8594920138400006,10.96167798
2,88,AHN,Anterior hypothalamic nucleus,6,70,2,26,72,2.769230769230769,2.9464673101799996,14.04102811
3,830,DMH,Dorsomedial nucleus of the hypothalamus,6,64,2,27,66,2.4444444444444446,2.8902776432,12.29395152
4,210,LM,Lateral mammillary nucleus,5,33,1,19,34,1.7894736842105263,2.72498361144,12.47721807
5,1004,PMv,Ventral premammillary nucleus,4,54,2,23,56,2.4347826086956523,2.4083447242081637,12.47721807
6,515,MPN,Medial preoptic nucleus,4,95,6,17,101,5.9411764705882355,2.59715093166,14.13975308
7,126,PVp,"Periventricular hypothalamic nucleus, posterior part",4,20,0,18,20,1.1111111111111112,2.3712662967799996,10.96167798
8,525,SUM,Supramammillary nucleus,4,95,4,20,99,4.95,2.04609897524,13.31243975
9,693,VMH,Ventromedial hypothalamic nucleus,3,101,1,27,102,3.7777777777777777,1.8016933781836733,9.909164885
10,614,TU,Tuberal nucleus,3,39,1,24,40,1.6666666666666667,1.8477053854800003,8.202895844
11,523,MPO,Medial preoptic area,3,63,8,13,71,5.461538461538462,2.2310223241999996,14.13975308
12,364,PSTN,Parasubthalamic nucleus,3,47,3,14,50,3.5714285714285716,1.6508777467,9.874536775
13,223,ARH,Arcuate hypothalamic nucleus,3,19,0,18,19,1.0555555555555556,1.9003445578999998,9.909164885
14,470,STN,Subthalamic nucleus,3,45,4,7,49,7.0,1.7525450041200004,10.27795013
15,1,TMv,"Tuberomammillary nucleus, ventral part",3,20,0,18,20,1.1111111111111112,2.0126784090000003,12.29189042
16,946,PH,Posterior hypothalamic nucleus,2,124,12,30,136,4.533333333333333,2.01068654708,13.31243975
17,63,PVHd,"Paraventricular hypothalamic nucleus, descending division",2,32,4,18,36,2.0,1.55230650106,12.29395152
18,286,SCH,Suprachiasmatic nucleus,2,25,1,7,26,3.7142857142857144,1.13321134184,7.262452787000001
19,390,SO,Supraoptic nucleus,2,23,3,7,26,3.7142857142857144,1.32783339576,5.896902606
20,797,ZI,Zona incerta,1,176,25,24,201,8.375,1.2799289376,8.476319138
21,226,LPO,Lateral preoptic area,1,28,6,9,34,3.7777777777777777,1.05404116338,6.4222279339999995
22,38,PVH,Paraventricular hypothalamic nucleus,0,69,4,17,73,4.294117647058823,0.63736707438,2.152549328
23,72,ADP,Anterodorsal preoptic nucleus,0,46,7,4,53,13.25,0.6941978673199998,2.144539461
